label,sublabel,description,styles,bgcolor
燃やさないごみ,,,img/moyasanai02.svg,#733b96
資源,,,img/shigen02.svg,#77ae1f
燃やすごみ,,,img/moyasu02.svg,#ea3b13
有害ごみ,,,img/yugaigomi02.svg,#78ae4f
びん,,,img/bin02.svg,#2dc7aa
粗大ごみ,,,img/sodaigomi02.svg,#7dc7aa
